The Big Bang Competition,The Big Bang,STEM,Compete,8 months,Online,"Free UK STEM competition for secondary students to showcase creative projects in science, engineering, or technology.",Open to all sixth formers,UK-only,2027-03-04,https://www.thebigbang.org.uk/,,
BIEA STEM Competition,BIEA,STEM,Compete,4 months,Online,"Free for UK teams. International STEM competition focused on reducing food waste in the supply chain.",Open to all sixth formers,Global,2027-12-18,https://bieacompetition.org.uk/2027-competition/,,
Minds Underground STEM Essay Competition,Minds Underground,STEM,Write,3 months,Online,"Essay competition for Year 12 students to explore scientific ideas across Biology, Chemistry, Physics, Maths, and Computer Science.",Open to all sixth formers,Global,2027-04-03,https://www.mindsunderground.com/sciences-competition,,
Foundation for the History of Totalitarianism Essay Competition,Foundation for the History of Totalitarianism,History,Write,1 month,Online,"Annual essay competition for Years 12–13 on historical topics like 'The Holodomor'.",Open to all sixth formers,Global,2027-04-20,https://www.mindsunderground.com/top-choice-competitions,,
See Science Physics Competition,See Science,Physics,Compete,5 months,Online,"Creative competition for students aged 11–16 to solve mysteries using physics. Open to all entries meeting criteria.",Open to all sixth formers,UK-only,2027-06-08,https://www.see-science.co.uk/whats-on/competitions/,,
St Hugh’s College History Essay Competition,St Hugh’s College,History,Write,1 month,Online,"Julia Wood History Essay Competition for sixth formers.",Open to all sixth formers,UK-only,2027-07-22,https://www.st-hughs.ox.ac.uk/prospective-students/outreach-at-st-hughs/essay-competitions/,,
St Hugh’s College Classical Reception Essay Competition,St Hugh’s College,Classics,Write,1 month,Online,"Mary Renault Classical Reception Essay Competition for sixth formers.",Open to all sixth formers,UK-only,2027-07-22,https://www.st-hughs.ox.ac.uk/prospective-students/outreach-at-st-hughs/essay-competitions/,,
Oxford Economics Society Essay Competition,Oxford Economics Society,Economics,Write,1 month,Online,"Essay competition for Year 12/13 students. 2,000 words.",Open to all sixth formers,Global,2027-08-14,https://koioseducation.com/academic-competitions/,,
Marshall Society Essay Competition,Marshall Society,Economics,Write,1 month,Online,"Essay competition for secondary school students. 1,500 words.",Open to all sixth formers,Global,2027-08-30,https://koioseducation.com/academic-competitions/,,
Institute of Economic Affairs Monetary Policy Essay Prize,Institute of Economic Affairs,Economics,Write,1 month,Online,"Essay prize for sixth formers and undergraduates. 2,500 words. £1,500 first prize.",Open to all sixth formers,Global,2027-08-31,https://koioseducation.com/academic-competitions/,,
LSE SU Economics Society Essay Competition,LSE SU Economics Society,Economics,Write,1 month,Online,"Essay competition for all secondary school students. 1,500 words.",Open to all sixth formers,Global,2027-09-01,https://koioseducation.com/academic-competitions/,,
Hack Club Capitol,Hack Club,tech,Build,36 hours,Local,"Travel to Washington D.C., learn from workshops and mentors, and ship an app for the Congressional App Challenge.",Open to all high-schoolers,US-only,2026-09-24,https://capitol.hackclub.com/,yes,https://images.unsplash.com/photo-1501466044931-62695aada8e9?auto=format&fit=crop&w=1200&q=80
Darkroom,Hack Club,creative,Make,2 weeks,Online,"Build a photography or computer vision software or hardware project, and get physical cameras, 35mm film, and photography gear.",Open to all high-schoolers,Global,2026-09-30,https://darkroom.hackclub.com/,,
Retrograde,Hack Club,creative,Build,2 weeks,Online,"Make an authentic retro pixel-art game in your browser, and get a real retro handheld console shipped to your door.",Open to all high-schoolers,Global,2026-09-30,https://retrograde.hackclub.com/,,
